BODY-WORN CAMERA TRANSCRIPT
Officer: M. Halberg #4471
Unit: MCPD-BWC-118
Recording start: 03/14/2024 23:58:12
Recording end:   03/15/2024 00:35:47
Transcribed by: J. Liu, MCPD Records, 03/22/2024

[23:58:12]  HALBERG: Dispatch, 118, we're 10-23 at 4500 Linden, possible suspect on the curb.
[23:58:30]  BELL (off-camera): I'll take the right side.
[23:58:41]  HALBERG: Sir, can you stand up for me? Keep your hands where I can see them.
[23:58:46]  ORTEGA: What did I do?
[23:58:48]  HALBERG: Just stand up, sir. We had a robbery call a couple blocks south.
[23:58:55]  ORTEGA: I've been sitting here for like twenty minutes, man.
[23:59:02]  HALBERG: I'm going to pat you down for weapons. Do you have anything sharp on you?
[23:59:06]  ORTEGA: No.
[23:59:11]  HALBERG: Stop reaching. Stop reaching!
[23:59:14]  [scuffle — audio only, camera pointed at pavement]
[23:59:38]  HALBERG: He's down, he's down. Cuffs on.
[00:01:22]  HALBERG: I've got a knife in his right pocket. Looks like four-something.
[00:11:04]  HALBERG: Mr. Ortega, you have the right to remain silent...
                     [full Miranda warning recited, see Item 03]
[00:11:38]  ORTEGA: I want a lawyer.
[00:11:41]  HALBERG: Okay.
[00:24:09]  HALBERG: Where did you ditch the phone?
[00:24:12]  ORTEGA: I don't know what you're talking about.
[00:24:14]  HALBERG: Alright.
[00:35:47]  [recording ends — transport to MCPD HQ]
